//radianX,radianY,radianZ
0,0,0
-0.001,0.001,0.005
0,0.007,-0.009
0.019,0.004,-0.02
0.023,0.013,-0.027
0.015,0.018,-0.028
0.03,0.006,-0.027
0.038,0.002,-0.035
0.033,0.004,-0.031
0.031,0.016,-0.023
0.033,0.025,-0.022
0.035,0.018,-0.033
0.056,0.006,-0.039
0.05,0.006,-0.037
0.034,0.021,-0.042
0.03,0.035,-0.04
0.033,0.042,-0.025
0.025,0.04,-0.024
0.024,0.022,-0.021
0.018,0.026,-0.008
0.017,0.046,-0.01
0.02,0.044,-0.022
0.036,0.036,-0.014
0.033,0.056,-0.008
0.035,0.081,-0.009
0.047,0.088,0.002
0.037,0.089,0.007
0.039,0.067,0.003
0.036,0.036,-0.01
0.015,0.06,0.017
0.01,0.073,0.011
0.044,0.062,-0.003
0.061,0.059,-0.003
0.026,0.084,0.004
0.02,0.091,0.013
0.049,0.079,0.019
0.05,0.069,0.014
0.044,0.059,0.019
0.012,0.057,0.019
-0.005,0.079,0.025
0.026,0.074,0.023
0.035,0.064,0.016
0.039,0.048,0.025
0.029,0.061,0.015
0.025,0.082,0.003
0.039,0.091,0.008
0.049,0.084,0.002
0.054,0.069,0.011
0.033,0.072,0.015
0.036,0.087,0.03
0.052,0.079,0.033
0.068,0.062,0.039
0.04,0.058,0.05
0.024,0.078,0.026
0.047,0.086,0.015
0.031,0.069,0.01
0.011,0.055,0.017
0.001,0.058,0.023
-0.006,0.084,0.019
0.019,0.085,0.009
0.037,0.069,0.008
0.039,0.058,0.024
0.015,0.085,0.031
0.014,0.11,0.039
0.014,0.108,0.033
0.016,0.094,0.025
0.029,0.074,0.021
0.028,0.073,-0.007
0.034,0.09,-0.001
0.045,0.086,-0.009
0.058,0.077,-0.001
0.056,0.07,0.009
0.058,0.055,0.014
0.044,0.077,0
0.025,0.061,0.004
0.026,0.065,0.003
0.027,0.077,0.01
0.009,0.103,0.015
0,0.116,0.027
0.013,0.097,0.019
0.045,0.066,0.009
0.054,0.066,0.006
0.034,0.096,0.009
0.002,0.099,0.011
-0.026,0.101,0.015
-0.03,0.096,0.017
-0.039,0.112,0.023
-0.059,0.144,0.021
-0.048,0.144,0.024
-0.016,0.115,0.015
0.002,0.081,0.016
-0.02,0.073,0.004
-0.031,0.094,-0.006
-0.034,0.096,0
-0.041,0.08,0.008
-0.04,0.072,0.01
-0.037,0.065,0.001
-0.048,0.079,0.011
-0.063,0.087,-0.001
-0.037,0.07,-0.008
-0.035,0.062,-0.017
-0.05,0.077,-0.01
-0.046,0.09,0.017
-0.048,0.087,0.024
-0.04,0.071,0.012
-0.034,0.064,-0.004
-0.048,0.062,-0.008
-0.046,0.069,0.004
-0.052,0.076,-0.009
-0.035,0.058,-0.002
-0.025,0.042,-0.006
-0.038,0.053,-0.006
-0.034,0.071,-0.008
-0.015,0.066,-0.005
-0.025,0.062,-0.009
-0.038,0.046,0.004
-0.057,0.053,0.008
-0.068,0.072,0.01
-0.068,0.075,0.005
-0.06,0.063,-0.002
-0.058,0.057,0.003
-0.092,0.079,0.015
-0.105,0.119,0.034
-0.061,0.169,0.064
0.045,0.206,-0.011
0.177,0.481,-0.188
0.389,0.658,-0.384
0.582,0.685,-0.282
0.347,0.75,-0.224
0.102,0.786,-0.153
0.057,0.772,-0.098
0.116,0.782,-0.097
0.088,0.79,-0.086
0.075,0.738,-0.036
0.086,0.689,-0.029
0.095,0.651,-0.069
0.059,0.651,-0.093
-0.001,0.664,-0.108
-0.085,0.669,-0.096
-0.165,0.656,-0.102
-0.162,0.632,-0.12
-0.178,0.639,-0.106
-0.175,0.647,-0.085
-0.165,0.632,-0.04
-0.143,0.597,-0.038
-0.11,0.618,-0.082
-0.076,0.617,-0.119
-0.148,0.602,-0.13
-0.248,0.582,-0.129
-0.293,0.54,-0.121
-0.294,0.531,-0.103
-0.277,0.561,-0.107
-0.248,0.546,-0.075
-0.236,0.541,-0.031
-0.252,0.541,-0.034
-0.268,0.601,-0.046
-0.3,0.63,-0.075
-0.34,0.606,-0.107
-0.372,0.557,-0.134
-0.364,0.506,-0.141
-0.352,0.489,-0.171
-0.34,0.49,-0.187
-0.356,0.44,-0.172
-0.38,0.403,-0.17
-0.398,0.399,-0.208
-0.401,0.418,-0.209
-0.449,0.463,-0.205
-0.487,0.474,-0.218
-0.496,0.446,-0.225
-0.47,0.482,-0.205
-0.396,0.528,-0.183
-0.314,0.529,-0.158
-0.25,0.549,-0.123
-0.229,0.559,-0.133
-0.209,0.613,-0.169
-0.219,0.61,-0.186
-0.305,0.597,-0.197
-0.358,0.574,-0.217
-0.387,0.555,-0.261
-0.453,0.591,-0.3
-0.57,0.563,-0.38
-0.721,0.604,-0.436
-0.9,0.64,-0.498
-1.122,0.678,-0.606
-1.286,0.695,-0.726
-1.415,0.746,-0.855
-1.489,0.755,-0.94
-1.574,0.743,-0.98
-1.64,0.744,-0.992
-1.655,0.708,-0.994
-1.656,0.665,-0.987
-1.646,0.638,-0.974
-1.609,0.649,-0.957
-1.565,0.647,-0.944
-1.51,0.656,-0.907
-1.4,0.709,-0.835
-1.309,0.805,-0.765
-1.224,0.871,-0.607
-1.133,0.939,-0.391
-0.991,0.995,-0.222
-0.794,0.996,-0.135
-0.658,0.956,-0.063
-0.587,0.927,0.055
-0.568,0.909,0.156
-0.564,0.92,0.219
-0.541,0.914,0.292
-0.544,0.882,0.369
-0.593,0.816,0.389
-0.614,0.757,0.405
-0.607,0.734,0.392
-0.618,0.734,0.344
-0.633,0.75,0.316
-0.685,0.708,0.277
-0.74,0.649,0.223
-0.754,0.654,0.188
-0.688,0.694,0.203
-0.616,0.739,0.237
-0.498,0.783,0.278
-0.393,0.837,0.367
-0.325,0.846,0.431
-0.257,0.878,0.478
